identifier,title,abstract,authors,published,url,source,input_format,input_url,categories,doi,arxiv_id
arxiv:2310.03560v3,Redefining Digital Health Interfaces with Large Language Models,"Digital health tools have the potential to significantly improve the delivery of healthcare services. However, their adoption remains comparatively limited due, in part, to challenges surrounding usability and trust. Large Language Models (LLMs) have emerged as general-purpose models with the ability to process complex information and produce human-quality text, presenting a wealth of potential applications in healthcare. Directly applying LLMs in clinical settings is not straightforward, however, with LLMs susceptible to providing inconsistent or nonsensical answers. We demonstrate how LLM-based systems can utilize external tools and provide a novel interface between clinicians and digital technologies. This enhances the utility and practical impact of digital healthcare tools and AI models while addressing current issues with using LLMs in clinical settings such as hallucinations. We illustrate LLM-based interfaces with the example of cardiovascular disease risk prediction. We develop a new prognostic tool using automated machine learning and demonstrate how LLMs can provide a unique interface to both our model and existing risk scores, highlighting the benefit compared to traditional interfaces for digital tools.",Fergus Imrie|Paulius Rauba|Mihaela van der Schaar,2023-10-05T14:18:40+00:00,https://arxiv.org/abs/2310.03560v3,arxiv,pdf,https://arxiv.org/pdf/2310.03560v3,cs.CL,,2310.03560v3
arxiv:2311.09706v1,Towards Autonomous Hypothesis Verification via Language Models with Minimal Guidance,"Research automation efforts usually employ AI as a tool to automate specific tasks within the research process. To create an AI that truly conduct research themselves, it must independently generate hypotheses, design verification plans, and execute verification. Therefore, we investigated if an AI itself could autonomously generate and verify hypothesis for a toy machine learning research problem. We prompted GPT-4 to generate hypotheses and Python code for hypothesis verification with limited methodological guidance. Our findings suggest that, in some instances, GPT-4 can autonomously generate and validate hypotheses without detailed guidance. While this is a promising result, we also found that none of the verifications were flawless, and there remain significant challenges in achieving autonomous, human-level research using only generic instructions. These findings underscore the need for continued exploration to develop a general and autonomous AI researcher.",Shiro Takagi|Ryutaro Yamauchi|Wataru Kumagai,2023-11-16T09:34:23+00:00,https://arxiv.org/abs/2311.09706v1,arxiv,pdf,https://arxiv.org/pdf/2311.09706v1,cs.AI|cs.HC|cs.LG,,2311.09706v1
arxiv:2311.13184v3,Large Language Model-Enhanced Algorithm Selection: Towards Comprehensive Algorithm Representation,"Algorithm selection, a critical process of automated machine learning, aims to identify the most suitable algorithm for solving a specific problem prior to execution. Mainstream algorithm selection techniques heavily rely on problem features, while the role of algorithm features remains largely unexplored. Due to the intrinsic complexity of algorithms, effective methods for universally extracting algorithm information are lacking. This paper takes a significant step towards bridging this gap by introducing Large Language Models (LLMs) into algorithm selection for the first time. By comprehending the code text, LLM not only captures the structural and semantic aspects of the algorithm, but also demonstrates contextual awareness and library function understanding. The high-dimensional algorithm representation extracted by LLM, after undergoing a feature selection module, is combined with the problem representation and passed to the similarity calculation module. The selected algorithm is determined by the matching degree between a given problem and different algorithms. Extensive experiments validate the performance superiority of the proposed model and the efficacy of each key module. Furthermore, we present a theoretical upper bound on model complexity, showcasing the influence of algorithm representation and feature selection modules. This provides valuable theoretical guidance for the practical implementation of our method.",Xingyu Wu|Yan Zhong|Jibin Wu|Bingbing Jiang|Kay Chen Tan,2023-11-22T06:23:18+00:00,https://arxiv.org/abs/2311.13184v3,arxiv,pdf,https://arxiv.org/pdf/2311.13184v3,cs.CL|cs.LG,,2311.13184v3
arxiv:2312.02213v1,JarviX: A LLM No code Platform for Tabular Data Analysis and Optimization,"In this study, we introduce JarviX, a sophisticated data analytics framework. JarviX is designed to employ Large Language Models (LLMs) to facilitate an automated guide and execute high-precision data analyzes on tabular datasets. This framework emphasizes the significance of varying column types, capitalizing on state-of-the-art LLMs to generate concise data insight summaries, propose relevant analysis inquiries, visualize data effectively, and provide comprehensive explanations for results drawn from an extensive data analysis pipeline. Moreover, JarviX incorporates an automated machine learning (AutoML) pipeline for predictive modeling. This integration forms a comprehensive and automated optimization cycle, which proves particularly advantageous for optimizing machine configuration. The efficacy and adaptability of JarviX are substantiated through a series of practical use case studies.",Shang-Ching Liu|ShengKun Wang|Wenqi Lin|Chung-Wei Hsiung|Yi-Chen Hsieh|Yu-Ping Cheng|Sian-Hong Luo|Tsungyao Chang|Jianwei Zhang,2023-12-03T07:03:04+00:00,https://arxiv.org/abs/2312.02213v1,arxiv,pdf,https://arxiv.org/pdf/2312.02213v1,cs.AI|cs.DB|cs.LG|stat.AP,,2312.02213v1
arxiv:2312.03497v1,Speculative Exploration on the Concept of Artificial Agents Conducting Autonomous Research,"This paper engages in a speculative exploration of the concept of an artificial agent capable of conducting research. Initially, it examines how the act of research can be conceptually characterized, aiming to provide a starting point for discussions about what it means to create such agents. The focus then shifts to the core components of research: question formulation, hypothesis generation, and hypothesis verification. This discussion includes a consideration of the potential and challenges associated with enabling machines to autonomously perform these tasks. Subsequently, this paper briefly considers the overlapping themes and interconnections that underlie them. Finally, the paper presents preliminary thoughts on prototyping as an initial step towards uncovering the challenges involved in developing these research-capable agents.",Shiro Takagi,2023-12-06T13:46:30+00:00,https://arxiv.org/abs/2312.03497v1,arxiv,pdf,https://arxiv.org/pdf/2312.03497v1,cs.AI|cs.LG,,2312.03497v1
arxiv:2312.05454v1,Model Evaluation for Domain Identification of Unknown Classes in Open-World Recognition: A Proposal,"Open-World Recognition (OWR) is an emerging field that makes a machine learning model competent in rejecting the unknowns, managing them, and incrementally adding novel samples to the base knowledge. However, this broad objective is not practical for an agent that works on a specific task. Not all rejected samples will be used for learning continually in the future. Some novel images in the open environment may not belong to the domain of interest. Hence, identifying the unknown in the domain of interest is essential for a machine learning model to learn merely the important samples. In this study, we propose an evaluation protocol for estimating a model's capability in separating unknown in-domain (ID) and unknown out-of-domain (OOD). We evaluated using three approaches with an unknown domain and demonstrated the possibility of identifying the domain of interest using the pre-trained parameters through traditional transfer learning, Automated Machine Learning (AutoML), and Nearest Class Mean (NCM) classifier with First Integer Neighbor Clustering Hierarchy (FINCH). We experimented with five different domains: garbage, food, dogs, plants, and birds. The results show that all approaches can be used as an initial baseline yielding a good accuracy. In addition, a Balanced Accuracy (BACCU) score from a pre-trained model indicates a tendency to excel in one or more domains of interest. We observed that MobileNetV3 yielded the highest BACCU score for the garbage domain and surpassed complex models such as the transformer network. Meanwhile, our results also suggest that a strong representation in the pre-trained model is important for identifying unknown classes in the same domain. This study could open the bridge toward open-world recognition in domain-specific tasks where the relevancy of the unknown classes is vital.",Gusti Ahmad Fanshuri Alfarisy|Owais Ahmed Malik|Ong Wee Hong,2023-12-09T03:54:25+00:00,https://arxiv.org/abs/2312.05454v1,arxiv,pdf,https://arxiv.org/pdf/2312.05454v1,cs.AI|cs.CV|cs.LG,,2312.05454v1
arxiv:2312.16886,"MobileVLM : A Fast, Reproducible and Strong Vision Language Assistant for Mobile Devices","We present MobileVLM, a competent multimodal vision language model (MMVLM) targeted to run on mobile devices. It is an amalgamation of a myriad of architectural designs and techniques that are mobile-oriented, which comprises a set of language models at the scale of 1.4B and 2.7B parameters, trained from scratch, a multimodal vision model that is pre-trained in the CLIP fashion, cross-modality interaction via an efficient projector. We evaluate MobileVLM on several typical VLM benchmarks. Our models demonstrate on par performance compared with a few much larger models. More importantly, we measure the inference speed on both a Qualcomm Snapdragon 888 CPU and an NVIDIA Jeston Orin GPU, and we obtain state-of-the-art performance of 21.5 tokens and 65.3 tokens per second, respectively. Our code will be made available at: https://github.com/Meituan-AutoML/MobileVLM.",Xiangxiang Chu|Limeng Qiao|Xinyang Lin|Shuang Xu|Yang Yang|Yiming Hu|Fei Wei|Xinyu Zhang|Bo Zhang|Xiaolin Wei|Chunhua Shen,2023-12-28T08:21:24+00:00,https://huggingface.co/papers/2312.16886,huggingface,pdf,https://arxiv.org/pdf/2312.16886,,,2312.16886
arxiv:2401.02994,"Blending Is All You Need: Cheaper, Better Alternative to Trillion-Parameters LLM","In conversational AI research, there's a noticeable trend towards developing models with a larger number of parameters, exemplified by models like ChatGPT. While these expansive models tend to generate increasingly better chat responses, they demand significant computational resources and memory. This study explores a pertinent question: Can a combination of smaller models collaboratively achieve comparable or enhanced performance relative to a singular large model? We introduce an approach termed ""blending"", a straightforward yet effective method of integrating multiple chat AIs. Our empirical evidence suggests that when specific smaller models are synergistically blended, they can potentially outperform or match the capabilities of much larger counterparts. For instance, integrating just three models of moderate size (6B/13B paramaeters) can rival or even surpass the performance metrics of a substantially larger model like ChatGPT (175B+ paramaters). This hypothesis is rigorously tested using A/B testing methodologies with a large user base on the Chai research platform over a span of thirty days. The findings underscore the potential of the ""blending"" strategy as a viable approach for enhancing chat AI efficacy without a corresponding surge in computational demands.",Xiaoding Lu|Adian Liusie|Vyas Raina|Yuwen Zhang|William Beauchamp,2024-01-04T07:45:49+00:00,https://huggingface.co/papers/2401.02994,huggingface,pdf,https://arxiv.org/pdf/2401.02994,,,2401.02994
arxiv:2402.01881v3,Large Language Model Agent for Hyper-Parameter Optimization,"Hyperparameter optimization is critical in modern machine learning, requiring expert knowledge, numerous trials, and high computational and human resources. Despite the advancements in Automated Machine Learning (AutoML), challenges in terms of trial efficiency, setup complexity, and interoperability still persist. To address these issues, we introduce a novel paradigm leveraging Large Language Models (LLMs) to automate hyperparameter optimization across diverse machine learning tasks, which is named AgentHPO (short for LLM Agent-based Hyperparameter Optimization). Specifically, AgentHPO processes the task information autonomously, conducts experiments with specific hyperparameters (HPs), and iteratively optimizes them based on historical trials. This human-like optimization process largely reduces the number of required trials, simplifies the setup process, and enhances interpretability and user trust, compared to traditional AutoML methods. Extensive empirical experiments conducted on 12 representative machine-learning tasks indicate that AgentHPO not only matches but also often surpasses the best human trials in terms of performance while simultaneously providing explainable results. Further analysis sheds light on the strategies employed by the LLM in optimizing these tasks, highlighting its effectiveness and adaptability in various scenarios.",Siyi Liu|Chen Gao|Yong Li,2024-02-02T20:12:05+00:00,https://arxiv.org/abs/2402.01881v3,arxiv,pdf,https://arxiv.org/pdf/2402.01881v3,cs.AI|cs.LG,,2402.01881v3
arxiv:2402.03766,MobileVLM V2: Faster and Stronger Baseline for Vision Language Model,"We introduce MobileVLM V2, a family of significantly improved vision language models upon MobileVLM, which proves that a delicate orchestration of novel architectural design, an improved training scheme tailored for mobile VLMs, and rich high-quality dataset curation can substantially benefit VLMs' performance. Specifically, MobileVLM V2 1.7B achieves better or on-par performance on standard VLM benchmarks compared with much larger VLMs at the 3B scale. Notably, our 3B model outperforms a large variety of VLMs at the 7B+ scale. Our models will be released at https://github.com/Meituan-AutoML/MobileVLM .",Xiangxiang Chu|Limeng Qiao|Xinyu Zhang|Shuang Xu|Fei Wei|Yang Yang|Xiaofei Sun|Yiming Hu|Xinyang Lin|Bo Zhang|Chunhua Shen,2024-02-06T07:16:36+00:00,https://huggingface.co/papers/2402.03766,huggingface,pdf,https://arxiv.org/pdf/2402.03766,,,2402.03766
arxiv:2402.04247v5,Risks of AI Scientists: Prioritizing Safeguarding Over Autonomy,"AI scientists powered by large language models have demonstrated substantial promise in autonomously conducting experiments and facilitating scientific discoveries across various disciplines. While their capabilities are promising, these agents also introduce novel vulnerabilities that require careful consideration for safety. However, there has been limited comprehensive exploration of these vulnerabilities. This perspective examines vulnerabilities in AI scientists, shedding light on potential risks associated with their misuse, and emphasizing the need for safety measures. We begin by providing an overview of the potential risks inherent to AI scientists, taking into account user intent, the specific scientific domain, and their potential impact on the external environment. Then, we explore the underlying causes of these vulnerabilities and provide a scoping review of the limited existing works. Based on our analysis, we propose a triadic framework involving human regulation, agent alignment, and an understanding of environmental feedback (agent regulation) to mitigate these identified risks. Furthermore, we highlight the limitations and challenges associated with safeguarding AI scientists and advocate for the development of improved models, robust benchmarks, and comprehensive regulations.",Xiangru Tang|Qiao Jin|Kunlun Zhu|Tongxin Yuan|Yichi Zhang|Wangchunshu Zhou|Meng Qu|Yilun Zhao|Jian Tang|Zhuosheng Zhang|Arman Cohan|Zhiyong Lu|Mark Gerstein,2024-02-06T18:54:07+00:00,https://arxiv.org/abs/2402.04247v5,arxiv,pdf,https://arxiv.org/pdf/2402.04247v5,cs.AI|cs.CL|cs.CY|cs.LG,,2402.04247v5
arxiv:2402.15351v2,AutoMMLab: Automatically Generating Deployable Models from Language Instructions for Computer Vision Tasks,"Automated machine learning (AutoML) is a collection of techniques designed to automate the machine learning development process. While traditional AutoML approaches have been successfully applied in several critical steps of model development (e.g. hyperparameter optimization), there lacks a AutoML system that automates the entire end-to-end model production workflow for computer vision. To fill this blank, we propose a novel request-to-model task, which involves understanding the user's natural language request and execute the entire workflow to output production-ready models. This empowers non-expert individuals to easily build task-specific models via a user-friendly language interface. To facilitate development and evaluation, we develop a new experimental platform called AutoMMLab and a new benchmark called LAMP for studying key components in the end-to-end request-to-model pipeline. Hyperparameter optimization (HPO) is one of the most important components for AutoML. Traditional approaches mostly rely on trial-and-error, leading to inefficient parameter search. To solve this problem, we propose a novel LLM-based HPO algorithm, called HPO-LLaMA. Equipped with extensive knowledge and experience in model hyperparameter tuning, HPO-LLaMA achieves significant improvement of HPO efficiency. Dataset and code are available at https://github.com/yang-ze-kang/AutoMMLab.",Zekang Yang|Wang Zeng|Sheng Jin|Chen Qian|Ping Luo|Wentao Liu,2024-02-23T14:38:19+00:00,https://arxiv.org/abs/2402.15351v2,arxiv,pdf,https://arxiv.org/pdf/2402.15351v2,cs.CV|cs.LG,,2402.15351v2
arxiv:2402.17168v1,Benchmarking Data Science Agents,"In the era of data-driven decision-making, the complexity of data analysis necessitates advanced expertise and tools of data science, presenting significant challenges even for specialists. Large Language Models (LLMs) have emerged as promising aids as data science agents, assisting humans in data analysis and processing. Yet their practical efficacy remains constrained by the varied demands of real-world applications and complicated analytical process. In this paper, we introduce DSEval -- a novel evaluation paradigm, as well as a series of innovative benchmarks tailored for assessing the performance of these agents throughout the entire data science lifecycle. Incorporating a novel bootstrapped annotation method, we streamline dataset preparation, improve the evaluation coverage, and expand benchmarking comprehensiveness. Our findings uncover prevalent obstacles and provide critical insights to inform future advancements in the field.",Yuge Zhang|Qiyang Jiang|Xingyu Han|Nan Chen|Yuqing Yang|Kan Ren,2024-02-27T03:03:06+00:00,https://arxiv.org/abs/2402.17168v1,arxiv,pdf,https://arxiv.org/pdf/2402.17168v1,cs.AI|cs.CL,,2402.17168v1
arxiv:2403.00522,VisionLLaMA: A Unified LLaMA Interface for Vision Tasks,"Large language models are built on top of a transformer-based architecture to process textual inputs. For example, the LLaMA stands out among many open-source implementations. Can the same transformer be used to process 2D images? In this paper, we answer this question by unveiling a LLaMA-like vision transformer in plain and pyramid forms, termed VisionLLaMA, which is tailored for this purpose. VisionLLaMA is a unified and generic modelling framework for solving most vision tasks. We extensively evaluate its effectiveness using typical pre-training paradigms in a good portion of downstream tasks of image perception and especially image generation. In many cases, VisionLLaMA have exhibited substantial gains over the previous state-of-the-art vision transformers. We believe that VisionLLaMA can serve as a strong new baseline model for vision generation and understanding. Our code will be released at https://github.com/Meituan-AutoML/VisionLLaMA.",Xiangxiang Chu|Jianlin Su|Bo Zhang|Chunhua Shen,2024-03-01T13:30:51+00:00,https://huggingface.co/papers/2403.00522,huggingface,pdf,https://arxiv.org/pdf/2403.00522,,,2403.00522
arxiv:2403.01332v1,Chaining thoughts and LLMs to learn DNA structural biophysics,"The future development of an AI scientist, a tool that is capable of integrating a variety of experimental data and generating testable hypotheses, holds immense potential. So far, bespoke machine learning models have been created to specialize in singular scientific tasks, but otherwise lack the flexibility of a general purpose model. Here, we show that a general purpose large language model, chatGPT 3.5-turbo, can be fine-tuned to learn the structural biophysics of DNA. We find that both fine-tuning models to return chain-of-thought responses and chaining together models fine-tuned for subtasks have an enhanced ability to analyze and design DNA sequences and their structures.",Tyler D. Ross|Ashwin Gopinath,2024-03-02T22:38:01+00:00,https://arxiv.org/abs/2403.01332v1,arxiv,pdf,https://arxiv.org/pdf/2403.01332v1,cs.AI|cs.LG|q-bio.QM,,2403.01332v1
